episode_number,title,full_title,category,youtube_channel_search_url,youtube_url_TO_FILL
28,Therapeutic Alliance Part 1,Episode 028: Therapeutic Alliance Part 1,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+028%3A+Therapeutic+Alliance+Part+1,https://www.youtube.com/watch?v=AAl2JRBcoJc
29,What is Psychodynamic Theory?,Episode 029: What is Psychodynamic Theory?,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+029%3A+What+is+Psychodynamic+Theory%3F,https://www.youtube.com/watch?v=nYk2C42WHgY
30,Ketamine and Psychedelics,Episode 030: Ketamine and Psychedelics,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+030%3A+Ketamine+and+Psychedelics,https://www.youtube.com/watch?v=KhLS5uPTeKQ
31,Psychiatric Approach to Delirium,Episode 031: Psychiatric Approach to Delirium,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+031%3A+Psychiatric+Approach+to+Delirium,https://www.youtube.com/watch?v=bsOt4z33PNU
32,Therapeutic Alliance Part 2: Logotherapy,Episode 032: Therapeutic Alliance Part 2: Logotherapy,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+032%3A+Therapeutic+Alliance+Part+2%3A+Logotherapy,https://www.youtube.com/watch?v=ezgEMZFR0LY
33,Perinatal Mood and Anxiety Disorders,Episode 033: Perinatal Mood and Anxiety Disorders,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+033%3A+Perinatal+Mood+and+Anxiety+Disorders,https://www.youtube.com/watch?v=7TeeK8ruaA8
34,Understanding Placebo,Episode 034: Understanding Placebo,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+034%3A+Understanding+Placebo,https://www.youtube.com/watch?v=OLQb-WVfitw
35,ADHD Diagnosis and Treatment,Episode 035: ADHD Diagnosis and Treatment,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+035%3A+ADHD+Diagnosis+and+Treatment,https://www.youtube.com/watch?v=-6aVGlYUBas
36,Therapeutic Alliance Part 3: Empathy,Episode 036: Therapeutic Alliance Part 3: Empathy,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+036%3A+Therapeutic+Alliance+Part+3%3A+Empathy,https://www.youtube.com/watch?v=-5IavceeEqU
37,How to Treat Violent Patients,Episode 037: How to Treat Violent Patients,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+037%3A+How+to+Treat+Violent+Patients,https://www.youtube.com/watch?v=QTwzuuF1hP4
38,The Dark Triad,Episode 038: The Dark Triad,Personality,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+038%3A+The+Dark+Triad,https://www.youtube.com/watch?v=06zorLRqk8o
39,Depression in Geriatric Patients,Episode 039: Depression in Geriatric Patients,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+039%3A+Depression+in+Geriatric+Patients,https://www.youtube.com/watch?v=uoXypIuHpo0
40,Reducing Inpatient Violence,Episode 040: Reducing Inpatient Violence,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+040%3A+Reducing+Inpatient+Violence,https://www.youtube.com/watch?v=MiuULzAdls4
41,Transference and Countertransference,Episode 041: Transference and Countertransference,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+041%3A+Transference+and+Countertransference,https://www.youtube.com/watch?v=Xxa7-tC-ypM
42,The Science Behind Forgiveness,Episode 042: The Science Behind Forgiveness,Clinician wellbeing & professional growth,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+042%3A+The+Science+Behind+Forgiveness,https://www.youtube.com/watch?v=101PWhbQaSQ
43,How to Help Patients with Sexual Abuse,Episode 043: How to Help Patients with Sexual Abuse,Trauma & PTSD,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+043%3A+How+to+Help+Patients+with+Sexual+Abuse,https://www.youtube.com/watch?v=W_K1Rcx4XWA
45,Schizophrenia in Film and History,Episode 045: Schizophrenia in Film and History,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+045%3A+Schizophrenia+in+Film+and+History,https://www.youtube.com/watch?v=IU_SSEt51AU
46,Do I Have Schizophrenia?,Episode 046: Do I Have Schizophrenia?,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+046%3A+Do+I+Have+Schizophrenia%3F,https://www.youtube.com/watch?v=Gp5kJdV6shc
47,Schizophrenia Differential Diagnosis,Episode 047: Schizophrenia Differential Diagnosis,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+047%3A+Schizophrenia+Differential+Diagnosis,https://www.youtube.com/watch?v=C9AhzCcSbek
48,The Unspeakable Mind - PTSD,Episode 048: The Unspeakable Mind - PTSD,Trauma & PTSD,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+048%3A+The+Unspeakable+Mind+-+PTSD,https://www.youtube.com/watch?v=MTSvqVNgZy0
49,Clozapine for Treatment Resistant Schizophrenia,Episode 049: Clozapine for Treatment Resistant Schizophrenia,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+049%3A+Clozapine+for+Treatment+Resistant+Schizophrenia,https://www.youtube.com/watch?v=aRY_U-7K520
50,The Process of Grief,Episode 050: The Process of Grief,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+050%3A+The+Process+of+Grief,https://www.youtube.com/watch?v=qvXptukXxOc
51,Eating Disorders Overview,Episode 051: Eating Disorders Overview,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+051%3A+Eating+Disorders+Overview,https://www.youtube.com/watch?v=ZZgEz8c_NzI
52,Psychodermatology,Episode 052: Psychodermatology,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+052%3A+Psychodermatology,https://www.youtube.com/watch?v=9zMi8Yba8oc
53,Frontal Lobe Damage,Episode 053: Frontal Lobe Damage,Neuroscience & the brain,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+053%3A+Frontal+Lobe+Damage,https://www.youtube.com/watch?v=3nvjTIl3kcw
54,Suicide Epidemiology and Prevention,Episode 054: Suicide Epidemiology and Prevention,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+054%3A+Suicide+Epidemiology+and+Prevention,https://www.youtube.com/watch?v=_5ebgHRNmCw
55,How to Pick a Good Therapist,Episode 055: How to Pick a Good Therapist,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+055%3A+How+to+Pick+a+Good+Therapist,https://www.youtube.com/watch?v=f2LR9LADvOI
56,Neuralink and Mental Health,Episode 056: Neuralink and Mental Health,Neuroscience & the brain,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+056%3A+Neuralink+and+Mental+Health,https://www.youtube.com/watch?v=PhxZ33kAhMI
57,Why Lithium Works for Bipolar,Episode 057: Why Lithium Works for Bipolar,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+057%3A+Why+Lithium+Works+for+Bipolar,https://www.youtube.com/watch?v=-j67sto5OZs
58,Lithium Monitoring and Side Effects,Episode 058: Lithium Monitoring and Side Effects,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+058%3A+Lithium+Monitoring+and+Side+Effects,
59,Foods for Mental Health,Episode 059: Foods for Mental Health,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+059%3A+Foods+for+Mental+Health,https://www.youtube.com/watch?v=yhtDEu4FA2g
60,Genetics and Suicide,Episode 060: Genetics and Suicide,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+060%3A+Genetics+and+Suicide,https://www.youtube.com/watch?v=Dwu5TRhl2jA
61,Involuntary Holds and Capacity,Episode 061: Involuntary Holds and Capacity,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+061%3A+Involuntary+Holds+and+Capacity,https://www.youtube.com/watch?v=PSL5rF7UJdY
62,Therapeutic Alliance Part 5: Emotion,Episode 062: Therapeutic Alliance Part 5: Emotion,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+062%3A+Therapeutic+Alliance+Part+5%3A+Emotion,https://www.youtube.com/watch?v=CQgnLZ4c1bw
65,Is Social Media Good for Mental Health,Episode 065: Is Social Media Good for Mental Health,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+065%3A+Is+Social+Media+Good+for+Mental+Health,https://www.youtube.com/watch?v=ISGpNJnImPM
66,Fentanyl and the Opioid Crisis,Episode 066: Fentanyl and the Opioid Crisis,Substance use & addiction,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+066%3A+Fentanyl+and+the+Opioid+Crisis,https://www.youtube.com/watch?v=7ZiJKV-sy9Q
67,Joker Character Analysis,Episode 067: Joker Character Analysis,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+067%3A+Joker+Character+Analysis,https://www.youtube.com/watch?v=_xv240cm_to
68,IQ and Environmental Factors,Episode 068: IQ and Environmental Factors,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+068%3A+IQ+and+Environmental+Factors,https://www.youtube.com/watch?v=-jmXWOCsXts
69,Therapeutic Alliance Part 6: Attachment,Episode 069: Therapeutic Alliance Part 6: Attachment,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+069%3A+Therapeutic+Alliance+Part+6%3A+Attachment,https://www.youtube.com/watch?v=ZBapSvanmMg
70,Connecting with Psychotic Patients,Episode 070: Connecting with Psychotic Patients,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+070%3A+Connecting+with+Psychotic+Patients,https://www.youtube.com/watch?v=i2CUaHlXtRw
71,Valproic Acid Deep Dive,Episode 071: Valproic Acid Deep Dive,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+071%3A+Valproic+Acid+Deep+Dive,https://www.youtube.com/watch?v=8dnqdB03bks
72,Violence and Mental Illness,Episode 072: Violence and Mental Illness,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+072%3A+Violence+and+Mental+Illness,https://www.youtube.com/watch?v=F61IriYEyRQ
73,Catatonia Diagnosis and Treatment,Episode 073: Catatonia Diagnosis and Treatment,Neuroscience & the brain,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+073%3A+Catatonia+Diagnosis+and+Treatment,https://www.youtube.com/watch?v=lwOHZfRYw8c
75,Cancer and Mental Health,Episode 075: Cancer and Mental Health,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+075%3A+Cancer+and+Mental+Health,https://www.youtube.com/watch?v=Ilv9OoMaZW4
76,COVID-19 Mental Health,Episode 076: COVID-19 Mental Health,"Anxiety, OCD & stress",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+076%3A+COVID-19+Mental+Health,https://www.youtube.com/watch?v=W6pNUNPZ7vs
77,Getting Better Therapy Results,Episode 077: Getting Better Therapy Results,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+077%3A+Getting+Better+Therapy+Results,https://www.youtube.com/watch?v=gdhg97_RKwQ
78,COVID-19 and the Brain,Episode 078: COVID-19 and the Brain,Neuroscience & the brain,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+078%3A+COVID-19+and+the+Brain,https://www.youtube.com/watch?v=FUw6b_QZW2s
79,Tough Conversations in COVID-19,Episode 079: Tough Conversations in COVID-19,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+079%3A+Tough+Conversations+in+COVID-19,https://www.youtube.com/watch?v=gsI3fw8fj-U
80,Meaning in Crisis,Episode 080: Meaning in Crisis,Clinician wellbeing & professional growth,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+080%3A+Meaning+in+Crisis,https://www.youtube.com/watch?v=GSNxceY-JoE
81,Unemployment Depression and Suicide,Episode 081: Unemployment Depression and Suicide,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+081%3A+Unemployment+Depression+and+Suicide,https://www.youtube.com/watch?v=lGbKbeh4CwE
82,Mental Pain and Suicidality,Episode 082: Mental Pain and Suicidality,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+082%3A+Mental+Pain+and+Suicidality,https://www.youtube.com/watch?v=8jwrIf-s3v4
83,Racism and Trauma,Episode 083: Racism and Trauma,Trauma & PTSD,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+083%3A+Racism+and+Trauma,https://www.youtube.com/watch?v=bnAd_LfHRj0
84,Free Will in Psychiatry Part 1,Episode 084: Free Will in Psychiatry Part 1,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+084%3A+Free+Will+in+Psychiatry+Part+1,https://www.youtube.com/watch?v=N9gYwgMkT-k
85,Free Will Part 2,Episode 085: Free Will Part 2,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+085%3A+Free+Will+Part+2,https://www.youtube.com/watch?v=zxM9opzlycI
86,Free Will Part 3,Episode 086: Free Will Part 3,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+086%3A+Free+Will+Part+3,https://www.youtube.com/watch?v=4HRjlTn1adM
87,Disorganized Attachment Part 1,Episode 087: Disorganized Attachment Part 1,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+087%3A+Disorganized+Attachment+Part+1,https://www.youtube.com/watch?v=ZS45l18sWAg
88,Disorganized Attachment Part 2,Episode 088: Disorganized Attachment Part 2,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+088%3A+Disorganized+Attachment+Part+2,https://www.youtube.com/watch?v=Y3eW7mvX4f0
89,How to Retire Happy,Episode 089: How to Retire Happy,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+089%3A+How+to+Retire+Happy,
90,How to Rock the USMLE,Episode 090: How to Rock the USMLE,"Anxiety, OCD & stress",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+090%3A+How+to+Rock+the+USMLE,https://www.youtube.com/watch?v=kyJcF5GQLT8
91,Tricyclic Antidepressants,Episode 091: Tricyclic Antidepressants,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+091%3A+Tricyclic+Antidepressants,https://www.youtube.com/watch?v=ClU2wUvw9wk
92,Big Five Neuroticism Part 1,Episode 092: Big Five Neuroticism Part 1,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+092%3A+Big+Five+Neuroticism+Part+1,https://www.youtube.com/watch?v=kxGGuQgfBUk
93,Forensic Pedophilia,Episode 093: Forensic Pedophilia,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+093%3A+Forensic+Pedophilia,https://www.youtube.com/watch?v=fZ5CkBfuXbU
94,Oversexualization of Children,Episode 094: Oversexualization of Children,"Child, adolescent & development",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+094%3A+Oversexualization+of+Children,https://www.youtube.com/watch?v=W1YeewVRSsU
95,Big Five Neuroticism Part 2,Episode 095: Big Five Neuroticism Part 2,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+095%3A+Big+Five+Neuroticism+Part+2,https://www.youtube.com/watch?v=t-rKwbtHF8k
96,Best Exercise for Depression,Episode 096: Best Exercise for Depression,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+096%3A+Best+Exercise+for+Depression,https://www.youtube.com/watch?v=n1pxAsGo4Dw
97,Big Five Conscientiousness Part 1,Episode 097: Big Five Conscientiousness Part 1,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+097%3A+Big+Five+Conscientiousness+Part+1,https://www.youtube.com/watch?v=Rb7JuaarA7s
98,Big Five Openness,Episode 098: Big Five Openness,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+098%3A+Big+Five+Openness,https://www.youtube.com/watch?v=kE7UYVy7hPU
99,Big Five Conscientiousness Part 2,Episode 099: Big Five Conscientiousness Part 2,"Child, adolescent & development",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+099%3A+Big+Five+Conscientiousness+Part+2,https://www.youtube.com/watch?v=QsbuCMJs56o
100,Big Five Agreeableness,Episode 100: Big Five Agreeableness,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+100%3A+Big+Five+Agreeableness,https://www.youtube.com/watch?v=iMNk2Z7h_GM
101,Big Five Extraversion,Episode 101: Big Five Extraversion,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+101%3A+Big+Five+Extraversion,https://www.youtube.com/watch?v=rsC9WT4K1LU
102,Anticholinergic Burden,Episode 102: Anticholinergic Burden,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+102%3A+Anticholinergic+Burden,https://www.youtube.com/watch?v=K_e_aKu2Wu0
103,Acceptance and Commitment Therapy,Episode 103: Acceptance and Commitment Therapy,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+103%3A+Acceptance+and+Commitment+Therapy,https://www.youtube.com/watch?v=5TAYCeD1QGs
104,Psilocybin Therapy Part 1,Episode 104: Psilocybin Therapy Part 1,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+104%3A+Psilocybin+Therapy+Part+1,https://www.youtube.com/watch?v=6atRgjYIip0
105,Vulnerability and Imposter Syndrome,Episode 105: Vulnerability and Imposter Syndrome,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+105%3A+Vulnerability+and+Imposter+Syndrome,https://www.youtube.com/watch?v=LqA5PPtoFkY
106,Psilocybin Therapy Part 2,Episode 106: Psilocybin Therapy Part 2,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+106%3A+Psilocybin+Therapy+Part+2,https://www.youtube.com/watch?v=XC7KP43U3DY
107,Hero's Journey,Episode 107: Hero's Journey,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+107%3A+Hero%27s+Journey,https://www.youtube.com/watch?v=cWXrKYqRUUE
109,SNRIs Deep Dive Part 1,Episode 109: SNRIs Deep Dive Part 1,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+109%3A+SNRIs+Deep+Dive+Part+1,https://www.youtube.com/watch?v=MsOVGtstdEM
110,Hero's Journey for Professionals,Episode 110: Hero's Journey for Professionals,"Child, adolescent & development",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+110%3A+Hero%27s+Journey+for+Professionals,https://www.youtube.com/watch?v=XX-eDb6JLjY
112,SNRIs Deep Dive Part 2,Episode 112: SNRIs Deep Dive Part 2,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+112%3A+SNRIs+Deep+Dive+Part+2,https://www.youtube.com/watch?v=5a8BdHV9Go0
113,Man's Search for Meaning,Episode 113: Man's Search for Meaning,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+113%3A+Man%27s+Search+for+Meaning,https://www.youtube.com/watch?v=r_cm4K8hzZk
114,Female Psychopathy,Episode 114: Female Psychopathy,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+114%3A+Female+Psychopathy,https://www.youtube.com/watch?v=7c3SwebWYtQ
115,Borderline Personality Disorder Overview,Episode 115: Borderline Personality Disorder Overview,Personality,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+115%3A+Borderline+Personality+Disorder+Overview,https://www.youtube.com/watch?v=dfSLHXaPTek
116,Psychopathy Expert Interview,Episode 116: Psychopathy Expert Interview,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+116%3A+Psychopathy+Expert+Interview,https://www.youtube.com/watch?v=Mgw9rHHjjqg
117,Psychotic Disorders Comorbidity,Episode 117: Psychotic Disorders Comorbidity,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+117%3A+Psychotic+Disorders+Comorbidity,https://www.youtube.com/watch?v=u-w8TrQY34A
118,Microexpressions for Empathy,Episode 118: Microexpressions for Empathy,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+118%3A+Microexpressions+for+Empathy,https://www.youtube.com/watch?v=jEOU_ukX61s
119,Obsessive Compulsive Disorder,Episode 119: Obsessive Compulsive Disorder,"Anxiety, OCD & stress",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+119%3A+Obsessive+Compulsive+Disorder,
120,Marcus Aurelius Meditations,Episode 120: Marcus Aurelius Meditations,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+120%3A+Marcus+Aurelius+Meditations,https://www.youtube.com/watch?v=-qsiRkjzjNM
121,Britney Spears Conservatorship,Episode 121: Britney Spears Conservatorship,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+121%3A+Britney+Spears+Conservatorship,https://www.youtube.com/watch?v=KKpTQIgj_EE
122,Alzheimer's Dementia,Episode 122: Alzheimer's Dementia,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+122%3A+Alzheimer%27s+Dementia,https://www.youtube.com/watch?v=4qGRGtiuIDg
122,Bipolar I and II - Diagnosis and Treatment,Episode 122: Bipolar I and II - Diagnosis and Treatment,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+122%3A+Bipolar+I+and+II+-+Diagnosis+and+Treatment,
123,Mass Shootings Research,Episode 123: Mass Shootings Research,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+123%3A+Mass+Shootings+Research,https://www.youtube.com/watch?v=9EQ6XjSZOiE
124,Sleep Medications and Insomnia,Episode 124: Sleep Medications and Insomnia,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+124%3A+Sleep+Medications+and+Insomnia,https://www.youtube.com/watch?v=yXJxkQqXRtY
125,Treating VIP Patients,Episode 125: Treating VIP Patients,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+125%3A+Treating+VIP+Patients,https://www.youtube.com/watch?v=WFzhMU2z7Pw
126,OCD Psychotherapy,Episode 126: OCD Psychotherapy,"Anxiety, OCD & stress",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+126%3A+OCD+Psychotherapy,
127,Antipsychotic Plasma Levels,Episode 127: Antipsychotic Plasma Levels,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+127%3A+Antipsychotic+Plasma+Levels,https://www.youtube.com/watch?v=ScTU1TaCH30
