episode_number,title,full_title,category,youtube_channel_search_url,youtube_url_TO_FILL
,Adult Autism: Late Diagnosis,Adult Autism: Late Diagnosis,"Child, adolescent & development",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Adult+Autism%3A+Late+Diagnosis,
,Bipolar Disorder 101,Bipolar Disorder 101,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Bipolar+Disorder+101,
,Bipolar Disorder Medication Management,Bipolar Disorder Medication Management,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Bipolar+Disorder+Medication+Management,
,Bipolar Disorder and Family Psychoeducation,Bipolar Disorder and Family Psychoeducation,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Bipolar+Disorder+and+Family+Psychoeducation,
,Borderline Personality Disorder 101,Borderline Personality Disorder 101,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Borderline+Personality+Disorder+101,
,CBT for Anxiety: What to Expect,CBT for Anxiety: What to Expect,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+CBT+for+Anxiety%3A+What+to+Expect,
,CBT for Insomnia,CBT for Insomnia,"Anxiety, OCD & stress",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+CBT+for+Insomnia,
,Childhood Anxiety Disorders: Assessment and Treatment,Childhood Anxiety Disorders: Assessment and Treatment,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Childhood+Anxiety+Disorders%3A+Assessment+and+Treatment,
,Chronic Pain and Depression: Biopsychosocial Approach,Chronic Pain and Depression: Biopsychosocial Approach,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Chronic+Pain+and+Depression%3A+Biopsychosocial+Approach,
,DBT Skills Overview,DBT Skills Overview,Personality,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+DBT+Skills+Overview,
,EMDR Explained,EMDR Explained,Trauma & PTSD,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+EMDR+Explained,
,EMDR: Rapid Trauma Processing,EMDR: Rapid Trauma Processing,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+EMDR%3A+Rapid+Trauma+Processing,
,ERP: The Gold Standard for OCD,ERP: The Gold Standard for OCD,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+ERP%3A+The+Gold+Standard+for+OCD,
,Eating Disorders 101,Eating Disorders 101,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Eating+Disorders+101,
,Family Guide to Mental Illness,Family Guide to Mental Illness,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Family+Guide+to+Mental+Illness,
,Family-Based Treatment for Adolescent EDs,Family-Based Treatment for Adolescent EDs,"Child, adolescent & development",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Family-Based+Treatment+for+Adolescent+EDs,
,First Episode Psychosis,First Episode Psychosis,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+First+Episode+Psychosis,https://www.youtube.com/watch?v=B_QLIIglJ9k
,Gender Dysphoria: Understanding,Gender Dysphoria: Understanding,"Child, adolescent & development",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Gender+Dysphoria%3A+Understanding,
,Interpersonal Therapy (IPT): Evidence and Practice,Interpersonal Therapy (IPT): Evidence and Practice,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Interpersonal+Therapy+%28IPT%29%3A+Evidence+and+Practice,
,Late-Life Depression: More Than Just Aging,Late-Life Depression: More Than Just Aging,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Late-Life+Depression%3A+More+Than+Just+Aging,
,MAT: Medication-Assisted Treatment,MAT: Medication-Assisted Treatment,Substance use & addiction,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+MAT%3A+Medication-Assisted+Treatment,
