detected_at,severity,source_id,change_type,summary,source_url,affects,status
2026-08-31T16:11:08+00:00,P1,link:www.psychiatry.org,broken-link,Broken link (406) on 13_Faculty_Resources/APA_Downloads_2026-06-29/APA_SURFACE_CARDS.md: https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/Professional-Topics/Integrated-Care/Private/Integration-of-Mental-Health-Into-Primary-Care-The-Collaborative-Care-Model.pptx,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/Professional-Topics/Integrated-Care/Private/Integration-of-Mental-Health-Into-Primary-Care-The-Collaborative-Care-Model.pptx,13_Faculty_Resources/APA_Downloads_2026-06-29/APA_SURFACE_CARDS.md,issue-open
2026-08-31T16:11:08+00:00,P1,link:mmc-psychiatry-residents-sanford.netlify.app,broken-link,Broken link (no response) on 13_Faculty_Resources/Handoffs/library_review_2026-07-01.md: https://mmc-psychiatry-residents-sanford.netlify.app/,https://mmc-psychiatry-residents-sanford.netlify.app/,13_Faculty_Resources/Handoffs/library_review_2026-07-01.md,issue-open
2026-08-31T16:11:08+00:00,P1,link:www.admsep.org,broken-link,Broken link (404) on 13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md: https://www.admsep.org/csi-emodules.php,https://www.admsep.org/csi-emodules.php,13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md,triaged
2026-08-31T16:11:08+00:00,P1,link:www.fda.gov,broken-link,Broken link (404) on 13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md: https://www.fda.gov/drugs/drug-safety-communications/fda-removes-risk-evaluation-and-mitigation-strategy-rems-program-antipsychotic-drug-clozapine,https://www.fda.gov/drugs/drug-safety-communications/fda-removes-risk-evaluation-and-mitigation-strategy-rems-program-antipsychotic-drug-clozapine,13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md,triaged
2026-08-31T16:11:08+00:00,P1,link:www.admsep.org,broken-link,Broken link (404) on 13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md: https://www.admsep.org/Educational-Objectives-for-a-Junior-Psychiatry-Clerkship.php,https://www.admsep.org/Educational-Objectives-for-a-Junior-Psychiatry-Clerkship.php,13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md,triaged
2026-08-31T16:11:08+00:00,P1,link:mental-health-education-library.netlify.app,broken-link,Broken link (no response) on 13_Faculty_Resources/Outreach/alex-tour/index.html: https://mental-health-education-library.netlify.app/,https://mental-health-education-library.netlify.app/,13_Faculty_Resources/Outreach/alex-tour/index.html,issue-open
2026-08-31T16:11:08+00:00,P1,link:www.aacom.org,broken-link,Broken link (405) on 03_Core_Topics/OMM_Resources/omm_in_psychiatry_resources.md: https://www.aacom.org/become-a-doctor/about-osteopathic-medicine/omm-explained,https://www.aacom.org/become-a-doctor/about-osteopathic-medicine/omm-explained,03_Core_Topics/OMM_Resources/omm_in_psychiatry_resources.md,issue-open
2026-08-31T16:11:08+00:00,P1,link:www.aacom.org,broken-link,Broken link (405) on 03_Core_Topics/OMM_Resources/omm_in_psychiatry_resources.md: https://www.aacom.org/medical-education/teaching-and-learning/competency-curriculum-resources,https://www.aacom.org/medical-education/teaching-and-learning/competency-curriculum-resources,03_Core_Topics/OMM_Resources/omm_in_psychiatry_resources.md,issue-open
