detected_at,severity,source_id,change_type,summary,source_url,affects,status
2026-08-03T07:19:29+00:00,P1,link:localhost:8080,broken-link,Broken link (no response) on docs/superpowers/plans/2026-08-01-audit-remediation-ws2-review-throughput.md: http://localhost:8080/13_Faculty_Resources/qbank-attest.html,http://localhost:8080/13_Faculty_Resources/qbank-attest.html,docs/superpowers/plans/2026-08-01-audit-remediation-ws2-review-throughput.md,issue-open
2026-08-03T07:19:29+00:00,P1,link:www.samhsa.gov,broken-link,Broken link (404) on 13_Faculty_Resources/_automation/surveillance/history/digest_2026-07.md: https://www.samhsa.gov/resource-search/all,https://www.samhsa.gov/resource-search/all,13_Faculty_Resources/_automation/surveillance/history/digest_2026-07.md,issue-open
2026-08-03T07:19:29+00:00,P1,link:www.fda.gov,broken-link,Broken link (404) on 13_Faculty_Resources/_automation/surveillance/STATUS.md: https://www.fda.gov/drugs/drug-safety-communications/fda-removes-risk-evaluation-and-mitigation-strategy-rems-program-antipsychotic-drug-clozapine,https://www.fda.gov/drugs/drug-safety-communications/fda-removes-risk-evaluation-and-mitigation-strategy-rems-program-antipsychotic-drug-clozapine,13_Faculty_Resources/_automation/surveillance/STATUS.md,issue-open
