detected_at,severity,source_id,change_type,summary,source_url,affects,status
2026-09-14T06:36:45+00:00,P1,link:www.healthquality.va.gov,broken-link,Broken link (no response) on docs/curriculum-review/resident/RESIDENT_CURRICULUM_COMPLETE.md: https://www.healthquality.va.gov/guidelines/mh/srb/,https://www.healthquality.va.gov/guidelines/mh/srb/,docs/curriculum-review/resident/RESIDENT_CURRICULUM_COMPLETE.md,issue-open
2026-09-14T06:36:45+00:00,P1,link:www.fda.gov,broken-link,Broken link (404) on docs/curriculum-review/resident/RESIDENT_CURRICULUM_COMPLETE.md: https://www.fda.gov/drugs/drug-safety-communications/fda-removes-risk-evaluation-and-mitigation-strategy-rems-program-antipsychotic-drug-clozapine,https://www.fda.gov/drugs/drug-safety-communications/fda-removes-risk-evaluation-and-mitigation-strategy-rems-program-antipsychotic-drug-clozapine,docs/curriculum-review/resident/RESIDENT_CURRICULUM_COMPLETE.md,triaged
2026-09-14T06:36:45+00:00,P1,link:www.fda.gov,broken-link,Broken link (404) on docs/curriculum-review/resident/RESIDENT_CURRICULUM_COMPLETE.md: https://www.fda.gov/drugs/drug-safety-and-availability/drug-safety-communications,https://www.fda.gov/drugs/drug-safety-and-availability/drug-safety-communications,docs/curriculum-review/resident/RESIDENT_CURRICULUM_COMPLETE.md,triaged
2026-09-14T06:36:45+00:00,P1,link:www.sciencedirect.com,broken-link,Broken link (400) on docs/curriculum-review/resident/RESIDENT_CURRICULUM_COMPLETE.md: https://www.sciencedirect.com/science/article/abs/pii/S1550830725001818,https://www.sciencedirect.com/science/article/abs/pii/S1550830725001818,docs/curriculum-review/resident/RESIDENT_CURRICULUM_COMPLETE.md,triaged
2026-09-14T06:36:45+00:00,P0,link:cssrs.columbia.edu,broken-link,Broken link (no response) on 04_Acute_and_Safety/Suicide_Risk_and_Safety_Planning/columbia-cssrs-screener.html: https://cssrs.columbia.edu/the-columbia-scale-c-ssrs/cssrs-for-communities-and-healthcare/,https://cssrs.columbia.edu/the-columbia-scale-c-ssrs/cssrs-for-communities-and-healthcare/,04_Acute_and_Safety/Suicide_Risk_and_Safety_Planning/columbia-cssrs-screener.html,issue-open
2026-09-14T06:36:45+00:00,P1,link:www.admsep.org,broken-link,Broken link (404) on 13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md: https://www.admsep.org/Educational-Objectives-for-a-Junior-Psychiatry-Clerkship.php,https://www.admsep.org/Educational-Objectives-for-a-Junior-Psychiatry-Clerkship.php,13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md,triaged
2026-09-14T06:36:45+00:00,P1,link:www.admsep.org,broken-link,Broken link (404) on 13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md: https://www.admsep.org/csi-emodules.php,https://www.admsep.org/csi-emodules.php,13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md,triaged
