detected_at,severity,source_id,change_type,summary,source_url,affects,status
2026-09-07T06:36:09+00:00,P1,link:www.admsep.org,broken-link,Broken link (404) on 13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md: https://www.admsep.org/csi-emodules.php,https://www.admsep.org/csi-emodules.php,13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md,triaged
2026-09-07T06:36:09+00:00,P1,link:www.fda.gov,broken-link,Broken link (404) on 13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md: https://www.fda.gov/drugs/drug-safety-communications/fda-removes-risk-evaluation-and-mitigation-strategy-rems-program-antipsychotic-drug-clozapine,https://www.fda.gov/drugs/drug-safety-communications/fda-removes-risk-evaluation-and-mitigation-strategy-rems-program-antipsychotic-drug-clozapine,13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md,triaged
2026-09-07T06:36:09+00:00,P1,link:www.admsep.org,broken-link,Broken link (404) on 13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md: https://www.admsep.org/Educational-Objectives-for-a-Junior-Psychiatry-Clerkship.php,https://www.admsep.org/Educational-Objectives-for-a-Junior-Psychiatry-Clerkship.php,13_Faculty_Resources/Handoffs/CURRICULUM_GAP_REVIEW_2026-07-08.md,triaged
2026-09-07T06:36:09+00:00,P1,link:www.fda.gov,broken-link,Broken link (404) on docs/curriculum-review/ms3/A4_EVIDENCE_BASE.md: https://www.fda.gov/drugs/drug-safety-and-availability/drug-safety-communications,https://www.fda.gov/drugs/drug-safety-and-availability/drug-safety-communications,docs/curriculum-review/ms3/A4_EVIDENCE_BASE.md,triaged
