clean_title,category,section,disposition,local_file,apa_source_url,bytes,superseded_by
APA_DSM-5-PTSD.pdf,Other APA public document,03_Core_Topics/Anxiety,SUPERSEDED,files/1749afb53d_APA_DSM-5-PTSD.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-PTSD.pdf,199610,APA-DSM5TR-PTSD.pdf
APA_DSM-5-Mild-Neurocognitive-Disorder.pdf,Other APA public document,03_Core_Topics/Geriatric,CATALOG,files/4b52fc2fd1_APA_DSM-5-Mild-Neurocognitive-Disorder.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Mild-Neurocognitive-Disorder.pdf,218116,
APA_DSM-5-Obsessive-Compulsive-Disorder.pdf,Other APA public document,13_Faculty_Resources (background),CATALOG,files/6999ee5d66_APA_DSM-5-Obsessive-Compulsive-Disorder.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Obsessive-Compulsive-Disorder.pdf,239819,
APA_DSM-5-Sleep-Wake-Disorders.pdf,Other APA public document,03_Core_Topics (topic-specific),CATALOG,files/ff43385d6c_APA_DSM-5-Sleep-Wake-Disorders.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Sleep-Wake-Disorders.pdf,236679,
APA_DSM-5-Paraphilic-Disorders.pdf,Other APA public document,13_Faculty_Resources (background),CATALOG,files/ddbe824c4f_APA_DSM-5-Paraphilic-Disorders.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Paraphilic-Disorders.pdf,217462,
APA_DSM-5-Personality-Disorder.pdf,Other APA public document,03_Core_Topics/Personality,CATALOG,files/eac72298f2_APA_DSM-5-Personality-Disorder.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Personality-Disorder.pdf,206268,
APA_DSM-5-Specific-Learning-Disorder.pdf,Other APA public document,14_Tracks/CAP_Fellow (+ 03_Core_Topics),CATALOG,files/52b9b815c7_APA_DSM-5-Specific-Learning-Disorder.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Specific-Learning-Disorder.pdf,192169,
APA_DSM-5-Social-Communication-Disorder.pdf,Other APA public document,14_Tracks/CAP_Fellow (+ 03_Core_Topics),CATALOG,files/d9deb875c9_APA_DSM-5-Social-Communication-Disorder.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Social-Communication-Disorder.pdf,123074,
APA_DSM-5-Somatic-Symptom-Disorder.pdf,Other APA public document,03_Core_Topics (topic-specific),CATALOG,files/bf67ad250c_APA_DSM-5-Somatic-Symptom-Disorder.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Somatic-Symptom-Disorder.pdf,236987,
APA_DSM-5-Substance-Use-Disorder.pdf,Other APA public document,03_Core_Topics/SUD_Withdrawal,CATALOG,files/c794190c04_APA_DSM-5-Substance-Use-Disorder.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Substance-Use-Disorder.pdf,231986,
DSM5-Sample-Proposal-Form-Types-1-2-3-5-6-7.pdf,Other APA public document,13_Faculty_Resources (background),BACKGROUND,files/b463f1234f_DSM5-Sample-Proposal-Form-Types-1-2-3-5-6-7.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/DSM5-Sample-Proposal-Form-Types-1-2-3-5-6-7.pdf,91229,
ICD10-Coding-Updates-AtaGlance-September2016.pdf,Other APA public document,13_Faculty_Resources (background),CATALOG,files/871b84b024_ICD10-Coding-Updates-AtaGlance-September2016.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/ICD10-Coding-Updates-AtaGlance-September2016.pdf,434847,
ICD10-Changes-Listed-by-DSM5-October-2017.pdf,Other APA public document,13_Faculty_Resources (background),STALE,files/87151b5bbf_ICD10-Changes-Listed-by-DSM5-October-2017.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/ICD10-Changes-Listed-by-DSM5-October-2017.pdf,61189,
DSM5-Sample-Proposal-Form-Type-4.pdf,Other APA public document,13_Faculty_Resources (background),BACKGROUND,files/ffd3d7ef41_DSM5-Sample-Proposal-Form-Type-4.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/DSM5-Sample-Proposal-Form-Type-4.pdf,34757,
ICD10-Changes-October-2018.pdf,Other APA public document,13_Faculty_Resources (background),STALE,files/2f571b6040_ICD10-Changes-October-2018.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/ICD10-Changes-October-2018.pdf,106901,
APA_DSM-5-Schizophrenia.pdf,Other APA public document,03_Core_Topics/Psychosis,CATALOG,files/774fdf8e57_APA_DSM-5-Schizophrenia.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/APA_DSM-5-Schizophrenia.pdf,152751,
APA-DSM5TR-ICD10CM-Code-Updates-092025.pdf,DSM fact sheets and diagnostic education,13_Faculty_Resources (background),CATALOG,files/795d8c54e9_APA-DSM5TR-ICD10CM-Code-Updates-092025.pdf,https://www.psychiatry.org/getmedia/a44e25b9-d139-4901-a579-8f52450bca9a/APA-DSM5TR-ICD10CM-Code-Updates-092025.pdf,35718,
Milliman-Summary-Report-Economic-Impact-Integrated-Implications-Psychiatry.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/e206e472d0_Milliman-Summary-Report-Economic-Impact-Integrated-Implications-Psychiatry.pdf,https://www.psychiatry.org/getmedia/6149bd32-c46e-4f6b-873f-9f4fbfbb4c20/Milliman-Summary-Report-Economic-Impact-Integrated-Implications-Psychiatry.pdf,331809,
APA-DSM5TR-ICD10CM-Code-Updates-092023.pdf,DSM fact sheets and diagnostic education,13_Faculty_Resources (background),CATALOG,files/667fcb0eb9_APA-DSM5TR-ICD10CM-Code-Updates-092023.pdf,https://www.psychiatry.org/getmedia/d2895a89-d0e6-46f9-a024-253a64667131/APA-DSM5TR-ICD10CM-Code-Updates-092023.pdf,96391,
APA-DSM5TR-ICD10CM-Code-Updates-092024.pdf,DSM fact sheets and diagnostic education,13_Faculty_Resources (background),CATALOG,files/2be1b3e174_APA-DSM5TR-ICD10CM-Code-Updates-092024.pdf,https://www.psychiatry.org/getmedia/172db6ec-8146-4bb4-be2a-49e9c61bcc94/APA-DSM5TR-ICD10CM-Code-Updates-092024.pdf,107076,
APA-DSM5TR-ICD10CM-Code-Updates-092022.pdf,DSM fact sheets and diagnostic education,13_Faculty_Resources (background),STALE,files/e858dca2bb_APA-DSM5TR-ICD10CM-Code-Updates-092022.pdf,https://www.psychiatry.org/getmedia/de1bf4c9-c75e-4e89-add8-3dd6e9c29de9/APA-DSM5TR-ICD10CM-Code-Updates-092022.pdf,338588,
IDD-Text-Update.pdf,Other APA public document,14_Tracks/CAP_Fellow (+ 03_Core_Topics),CATALOG,files/092cd4fc3e_IDD-Text-Update.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/IDD-Text-Update.pdf,166744,
